iter	Passed	Remaining
0	1	156
1	3	162
2	4	153
3	6	146
4	8	152
5	9	147
6	11	148
7	12	142
8	13	140
9	15	137
10	16	133
11	17	130
12	19	127
13	20	123
14	21	121
15	22	118
16	23	115
17	25	114
18	26	111
19	27	109
20	28	107
21	29	105
22	30	103
23	32	102
24	33	100
25	34	98
26	35	96
27	36	94
28	38	93
29	39	91
30	40	90
31	41	88
32	42	86
33	43	85
34	44	83
35	46	82
36	47	80
37	48	78
38	49	77
39	50	76
40	51	74
41	52	72
42	53	70
43	54	68
44	55	67
45	56	65
46	57	64
47	58	63
48	59	61
49	60	60
50	61	59
51	62	57
52	63	56
53	65	55
54	65	53
55	66	52
56	68	51
57	69	50
58	70	48
59	71	47
60	72	46
61	73	45
62	74	43
63	75	42
64	77	41
65	78	40
66	79	39
67	80	37
68	81	36
69	82	35
70	83	34
71	84	32
72	85	31
73	86	30
74	87	29
75	88	28
76	90	26
77	91	25
78	92	24
79	93	23
80	94	22
81	95	21
82	96	19
83	97	18
84	98	17
85	99	16
86	100	15
87	101	13
88	102	12
89	104	11
90	105	10
91	106	9
92	107	8
93	108	6
94	109	5
95	110	4
96	111	3
97	112	2
98	113	1
99	114	0
