iter	Passed	Remaining
0	1	1136
1	1	974
2	4	1352
3	5	1454
4	7	1535
5	8	1464
6	10	1430
7	11	1397
8	12	1338
9	13	1289
10	13	1228
11	14	1188
12	15	1150
13	16	1131
14	17	1175
15	19	1191
16	20	1174
17	20	1144
18	21	1128
19	22	1108
20	23	1101
21	24	1085
22	25	1068
23	26	1060
24	26	1051
25	27	1041
26	28	1034
27	29	1032
28	31	1040
29	32	1035
30	33	1045
31	34	1042
32	35	1033
33	36	1025
34	36	1012
35	37	999
36	37	988
37	38	977
38	39	966
39	40	960
40	40	953
41	41	945
42	42	937
43	42	927
44	43	917
45	43	908
46	45	914
47	46	914
48	46	908
49	47	902
50	48	896
51	48	889
52	49	883
53	50	877
54	50	875
55	51	870
56	52	867
57	53	863
58	53	858
59	54	854
60	55	848
61	55	844
62	56	839
63	57	835
64	57	831
65	58	830
66	59	828
67	60	826
68	61	823
69	61	821
70	62	816
71	63	814
72	63	811
73	64	806
74	64	800
75	65	795
76	65	790
77	66	785
78	67	781
79	68	782
80	68	777
81	69	773
82	69	766
83	69	762
84	70	758
85	70	754
86	71	750
87	72	746
88	72	742
89	73	741
90	74	742
91	75	741
92	75	738
93	76	734
94	76	731
95	77	727
96	77	723
97	78	720
98	78	717
99	79	716
100	80	713
101	80	710
102	81	707
103	81	704
104	82	701
105	82	698
106	83	695
107	83	692
108	84	689
109	84	687
110	85	685
111	86	683
112	86	681
113	87	681
114	88	680
115	89	678
116	89	675
117	90	673
118	90	670
119	91	669
120	91	666
121	92	663
122	92	660
123	93	658
124	93	655
125	94	653
126	94	650
127	95	647
128	95	645
129	96	642
130	96	640
131	97	639
132	97	637
133	98	635
134	98	633
135	99	630
136	99	628
137	100	626
138	101	626
139	102	629
140	103	628
141	103	626
142	104	625
143	104	623
144	105	621
145	105	618
146	106	616
147	106	614
148	107	612
149	107	610
150	108	608
151	108	607
152	109	605
153	109	603
154	110	601
155	110	599
156	111	598
157	111	596
158	112	594
159	112	592
160	113	590
161	113	588
162	114	587
163	114	585
164	115	584
165	116	583
166	117	583
167	117	583
168	118	582
169	119	581
170	119	581
171	120	580
172	121	579
173	121	577
174	122	576
175	122	575
176	123	574
177	124	572
178	124	571
179	125	570
180	125	569
181	126	567
182	126	566
183	127	565
184	128	563
185	128	562
186	129	561
187	129	560
188	130	560
189	131	560
190	132	560
191	133	559
192	133	558
193	134	558
194	134	557
195	135	555
196	136	554
197	136	553
198	137	552
199	137	550
200	138	549
201	138	548
202	139	547
203	139	545
204	140	544
205	141	543
206	141	542
207	142	541
208	142	540
209	143	539
210	143	538
211	144	538
212	145	538
213	146	537
214	146	536
215	147	535
216	148	534
217	148	533
218	149	532
219	149	531
220	150	530
221	151	529
222	151	528
223	152	527
224	152	526
225	153	525
226	153	524
227	154	523
228	155	521
229	155	521
230	156	520
231	156	519
232	157	517
233	157	516
234	159	517
235	160	517
236	161	518
237	161	517
238	162	517
239	163	517
240	164	516
241	164	515
242	165	514
243	165	513
244	166	512
245	166	511
246	167	510
247	168	509
248	168	508
249	169	508
250	169	507
251	170	505
252	171	504
253	171	503
254	172	502
255	172	501
256	173	501
257	174	501
258	175	501
259	175	500
260	176	499
261	176	498
262	177	497
263	177	496
264	178	495
265	179	494
266	179	493
267	180	492
268	180	491
269	181	490
270	182	489
271	182	488
272	183	487
273	183	486
274	184	485
275	184	484
276	185	483
277	185	482
278	186	482
279	187	482
280	188	482
281	189	481
282	189	480
283	190	480
284	190	479
285	191	479
286	192	478
287	193	477
288	193	476
289	194	475
290	194	474
291	195	473
292	196	473
293	196	472
294	197	471
295	197	470
296	198	469
297	199	468
298	199	467
299	200	467
300	200	466
301	202	468
302	203	468
303	204	468
304	205	467
305	205	466
306	206	466
307	207	465
308	208	465
309	208	464
310	209	464
311	210	463
312	210	462
313	211	461
314	212	461
315	212	460
316	213	460
317	214	459
318	214	458
319	215	458
320	216	458
321	217	457
322	218	457
323	219	456
324	219	456
325	220	456
326	221	455
327	222	455
328	223	454
329	223	454
330	224	453
331	225	453
332	225	452
333	226	452
334	227	451
335	228	450
336	228	450
337	229	449
338	230	450
339	231	449
340	232	449
341	233	448
342	234	448
343	235	448
344	236	448
345	237	448
346	238	448
347	239	448
348	240	449
349	241	448
350	242	448
351	243	447
352	244	447
353	244	446
354	245	446
355	246	445
356	247	445
357	248	445
358	248	444
359	249	443
360	250	443
361	251	443
362	253	444
363	254	444
364	255	444
365	255	443
366	257	443
367	257	442
368	258	442
369	259	442
370	260	441
371	261	441
372	262	440
373	263	441
374	264	441
375	265	441
376	266	440
377	267	440
378	268	439
379	268	438
380	269	438
381	271	438
382	272	438
383	273	438
384	274	438
385	275	437
386	276	437
387	278	438
388	279	438
389	280	438
390	281	438
391	282	437
392	283	437
393	284	437
394	285	437
395	286	436
396	287	436
397	287	435
398	289	436
399	290	435
400	291	435
401	292	435
402	294	436
403	295	436
404	296	435
405	297	435
406	298	434
407	299	434
408	300	434
409	301	433
410	302	433
411	303	432
412	304	432
413	304	431
414	305	430
415	306	429
416	306	428
417	307	427
418	307	426
419	308	426
420	309	425
421	309	424
422	310	423
423	310	422
424	312	422
425	313	421
426	313	421
427	314	420
428	315	419
429	316	419
430	317	418
431	317	417
432	318	417
433	319	416
434	320	415
435	320	414
436	321	414
437	321	413
438	322	412
439	323	411
440	323	410
441	324	409
442	324	408
443	326	408
444	327	407
445	327	407
446	328	406
447	329	405
448	330	405
449	330	404
450	331	403
451	332	403
452	333	402
453	333	401
454	334	400
455	335	400
456	335	399
457	336	398
458	337	397
459	337	396
460	338	395
461	338	394
462	339	393
463	340	393
464	341	392
465	341	391
466	342	391
467	343	390
468	344	389
469	345	389
470	346	388
471	346	387
472	347	387
473	348	386
474	348	385
475	349	384
476	349	383
477	350	382
478	350	381
479	351	380
480	352	379
481	352	378
482	353	378
483	354	377
484	355	377
485	356	376
486	356	375
487	357	375
488	358	374
489	359	374
490	360	373
491	361	373
492	362	372
493	363	371
494	363	371
495	364	370
496	365	369
497	365	368
498	366	367
499	366	366
500	368	366
501	369	366
502	369	365
503	370	364
504	371	363
505	371	362
506	372	362
507	373	361
508	374	361
509	375	360
510	375	359
511	376	358
512	377	358
513	377	357
514	378	356
515	379	355
516	379	354
517	380	353
518	380	352
519	381	352
520	382	351
521	383	350
522	383	350
523	384	349
524	385	348
525	386	347
526	386	347
527	387	346
528	388	345
529	389	345
530	390	344
531	390	343
532	391	342
533	391	342
534	392	341
535	393	340
536	393	339
537	394	338
538	394	337
539	395	336
540	396	336
541	397	335
542	397	334
543	398	334
544	399	333
545	400	332
546	401	332
547	401	331
548	403	331
549	403	330
550	404	329
551	405	328
552	405	327
553	406	326
554	406	326
555	407	325
556	407	324
557	408	323
558	409	322
559	409	321
560	410	321
561	411	320
562	412	319
563	412	319
564	413	318
565	414	317
566	415	317
567	416	316
568	417	315
569	417	315
570	418	314
571	419	313
572	419	312
573	420	311
574	420	311
575	421	310
576	422	309
577	422	308
578	423	307
579	423	307
580	424	306
581	425	305
582	426	305
583	427	304
584	427	303
585	428	302
586	429	302
587	430	301
588	431	300
589	432	300
590	432	299
591	433	298
592	434	298
593	434	297
594	435	296
595	436	295
596	436	294
597	437	294
598	438	293
599	439	292
600	440	292
601	440	291
602	441	290
603	442	289
604	443	289
605	444	288
606	444	287
607	445	287
608	446	286
609	446	285
610	447	284
611	447	283
612	448	283
613	449	282
614	449	281
615	450	280
616	450	279
617	451	278
618	452	278
619	453	277
620	454	277
621	454	276
622	455	275
623	456	275
624	457	274
625	458	273
626	459	273
627	459	272
628	460	271
629	461	271
630	462	270
631	462	269
632	463	268
633	464	268
634	465	267
635	466	267
636	467	266
637	468	265
638	469	265
639	469	264
640	470	263
641	471	262
642	471	262
643	472	261
644	473	260
645	474	259
646	475	259
647	476	258
648	476	257
649	477	257
650	478	256
651	478	255
652	481	255
653	482	255
654	483	254
655	484	253
656	484	253
657	485	252
658	486	251
659	487	251
660	488	250
661	488	249
662	489	248
663	490	248
664	491	247
665	491	246
666	492	245
667	493	245
668	494	244
669	495	243
670	496	243
671	497	242
672	498	242
673	499	241
674	500	240
675	501	240
676	502	239
677	503	239
678	504	238
679	505	237
680	506	237
681	507	236
682	508	235
683	509	235
684	511	235
685	512	234
686	513	233
687	513	233
688	514	232
689	515	231
690	516	230
691	517	230
692	518	229
693	518	228
694	519	227
695	519	227
696	520	226
697	521	225
698	521	224
699	522	224
700	524	223
701	525	222
702	525	222
703	526	221
704	527	220
705	527	219
706	528	219
707	529	218
708	529	217
709	530	216
710	530	215
711	531	215
712	532	214
713	532	213
714	533	212
715	533	211
716	534	210
717	535	210
718	536	209
719	537	208
720	538	208
721	539	207
722	540	207
723	541	206
724	541	205
725	542	204
726	543	203
727	543	203
728	544	202
729	544	201
730	545	200
731	545	199
732	546	199
733	547	198
734	547	197
735	548	196
736	548	195
737	549	195
738	550	194
739	551	193
740	552	193
741	552	192
742	553	191
743	554	190
744	555	189
745	555	189
746	556	188
747	557	187
748	557	186
749	558	186
750	559	185
751	560	184
752	560	183
753	561	183
754	561	182
755	562	181
756	563	180
757	564	180
758	565	179
759	566	178
760	566	177
761	567	177
762	568	176
763	568	175
764	569	175
765	570	174
766	571	173
767	571	172
768	572	172
769	573	171
770	573	170
771	574	169
772	575	168
773	575	168
774	576	167
775	577	166
776	578	165
777	579	165
778	580	164
779	581	163
780	581	163
781	582	162
782	583	161
783	584	160
784	584	160
785	585	159
786	586	158
787	586	157
788	587	157
789	587	156
790	588	155
791	588	154
792	589	153
793	590	153
794	590	152
795	592	151
796	593	151
797	593	150
798	595	149
799	595	148
800	596	148
801	597	147
802	598	146
803	598	145
